Unidade,Curso,Vagas,LB_PPI,LB_Q,LB_PCD,LB_EP,LI_PPI,LI_Q,LI_PCD,LI_EP,AC,Insc.,1ª Op.,2ª Op.,3ª Op.,Insc. / Vagas,Insc. Válidas.,Insc. Vál. / Vagas,Timestamp,Modalidade,Todas Op.,1ª Op. / Vagas,1ª Op. Homolog.,1ª Op. Homolog. / Vagas
Ipatinga,Técnico Integrado em Eletrotécnica (INT),40,59,0,3,40,99,0,7,144,183,,212,340,0,,,,2025-09-06 22:01:01.327103,INT,552.0,5.3,88.0,2.2
Itabirito,Técnico Integrado em Automação Industrial (INT),70,26,0,3,13,44,0,5,55,62,,225,0,0,,,,2025-09-06 22:01:01.327103,INT,225.0,3.21,99.0,1.41
Conselheiro Lafaiete,Técnico Integrado em Eletrotécnica (INT),40,39,1,3,26,67,0,2,103,93,,234,138,0,,,,2025-09-06 22:01:01.327103,INT,372.0,5.85,136.0,3.4
Conselheiro Lafaiete,Técnico Integrado em Mecânica (INT),40,39,1,3,26,62,0,2,96,90,,157,198,0,,,,2025-09-06 22:01:01.327103,INT,355.0,3.93,89.0,2.23
Ouro Branco,Técnico Integrado em Administração (INT),35,33,0,0,38,66,1,3,137,212,,257,196,85,,,,2025-09-06 22:01:01.327103,INT,538.0,7.34,157.0,4.49
Ouro Branco,Técnico Integrado em Informática (INT),35,34,0,0,40,68,1,2,129,215,,247,219,71,,,,2025-09-06 22:01:01.327103,INT,537.0,7.06,155.0,4.43
Ouro Branco,Técnico Integrado em Metalurgia (INT),35,32,0,0,33,59,1,2,117,166,,80,113,256,,,,2025-09-06 22:01:01.327103,INT,449.0,2.29,46.0,1.31
Ouro Preto,Técnico Integrado em Administração (INT),60,70,1,0,36,101,1,0,93,208,,279,170,113,,,,2025-09-06 22:01:01.327103,INT,562.0,4.65,147.0,2.45
Ouro Preto,Técnico Integrado em Automação Industrial (INT),80,56,1,0,32,108,0,0,98,189,,236,169,124,,,,2025-09-06 22:01:01.327103,INT,529.0,2.95,156.0,1.95
Ouro Preto,Técnico Integrado em Edificações (INT),90,53,0,0,26,97,0,0,107,209,,168,203,164,,,,2025-09-06 22:01:01.327103,INT,535.0,1.87,98.0,1.09
Ouro Preto,Técnico Integrado em Metalurgia (INT),90,43,0,0,21,85,0,0,78,140,,68,114,206,,,,2025-09-06 22:01:01.327103,INT,388.0,0.76,32.0,0.36
Ouro Preto,Técnico Integrado em Mineração (INT),90,77,1,0,35,133,1,0,130,217,,178,235,223,,,,2025-09-06 22:01:01.327103,INT,636.0,1.98,81.0,0.9
Piumhi,Técnico Integrado em Edificações (INT),80,6,0,0,10,11,0,0,29,35,,95,0,0,,,,2025-09-06 22:01:01.327103,INT,95.0,1.19,65.0,0.81
Ponte Nova,Técnico Integrado em Administração (INT),40,100,0,2,47,91,2,3,120,147,,288,299,0,,,,2025-09-06 22:01:01.327103,INT,587.0,7.2,129.0,3.23
Ponte Nova,Técnico Integrado em Informática (INT),75,103,0,2,45,97,2,2,127,158,,356,252,0,,,,2025-09-06 22:01:01.327103,INT,608.0,4.75,165.0,2.2
Ribeirão das Neves,Técnico Integrado em Administração (INT),70,151,1,4,102,174,0,7,147,428,,484,318,252,,,,2025-09-06 22:01:01.327103,INT,1054.0,6.91,217.0,3.1
Ribeirão das Neves,Técnico Integrado em Eletroeletrônica (INT),35,118,1,3,86,163,0,5,124,365,,134,324,450,,,,2025-09-06 22:01:01.327103,INT,908.0,3.83,64.0,1.83
Ribeirão das Neves,Técnico Integrado em Informática (INT),70,157,1,6,105,182,0,6,148,432,,536,403,147,,,,2025-09-06 22:01:01.327103,INT,1086.0,7.66,249.0,3.56
Sabará,Técnico Integrado em Administração (INT),35,95,0,5,63,109,1,4,138,405,,373,184,291,,,,2025-09-06 22:01:01.327103,INT,848.0,10.66,178.0,5.09
Sabará,Técnico Integrado em Eletrônica (INT),70,98,0,4,59,102,1,3,127,386,,237,299,272,,,,2025-09-06 22:01:01.327103,INT,808.0,3.39,123.0,1.76
