Unidade,Curso,Vagas,LB_PPI,LB_Q,LB_PCD,LB_EP,LI_PPI,LI_Q,LI_PCD,LI_EP,AC,Insc.,1ª Op.,2ª Op.,3ª Op.,Insc. / Vagas,Insc. Válidas.,Insc. Vál. / Vagas,Timestamp,Modalidade,Todas Op.,1ª Op. / Vagas,1ª Op. Homolog.,1ª Op. Homolog. / Vagas
Conselheiro Lafaiete,Técnico Subsequente em Mecânica (SUB),40,8,0,0,7,18,0,0,16,42,93.0,38,55,0,2.33,93.0,2.33,2025-08-19 16:29:46.176285,SUB,,,,
Ouro Branco,Técnico Subsequente em Metalurgia (SUB),40,1,0,0,1,3,0,0,4,10,20.0,20,0,0,0.5,20.0,0.5,2025-08-19 16:29:46.176285,SUB,,,,
Ouro Preto,Técnico Subsequente em Edificações (SUB),30,14,0,2,4,12,0,0,9,38,80.0,24,27,29,2.67,80.0,2.67,2025-08-19 16:29:46.176285,SUB,,,,
Ouro Preto,Técnico Subsequente em Joalheria (SUB),12,2,0,0,2,2,0,0,3,19,29.0,14,9,6,2.42,29.0,2.42,2025-08-19 16:29:46.176285,SUB,,,,
Ouro Preto,Técnico Subsequente em Meio Ambiente (SUB),30,14,0,1,5,10,0,0,10,57,98.0,30,46,22,3.27,98.0,3.27,2025-08-19 16:29:46.176285,SUB,,,,
Ouro Preto,Técnico Subsequente em Metalurgia (SUB),20,9,0,1,5,5,0,2,8,26,58.0,15,17,26,2.9,58.0,2.9,2025-08-19 16:29:46.176285,SUB,,,,
Ouro Preto,Técnico Subsequente em Mineração (SUB),30,17,0,1,5,19,0,2,15,41,105.0,44,37,24,3.5,105.0,3.5,2025-08-19 16:29:46.176285,SUB,,,,
Ouro Preto,Técnico Subsequente em Segurança do Trabalho (SUB),70,21,0,1,7,18,0,2,16,56,122.0,73,25,24,1.74,122.0,1.74,2025-08-19 16:29:46.176285,SUB,,,,
Ribeirão das Neves,Técnico Subsequente em Logística (SUB),120,112,1,6,74,93,0,12,103,673,1099.0,1099,0,0,9.16,1099.0,9.16,2025-08-19 16:29:46.176285,SUB,,,,
Santa Luzia,Técnico Subsequente em Segurança do Trabalho (SUB),40,18,1,0,8,16,1,1,5,47,98.0,98,0,0,2.45,98.0,2.45,2025-08-19 16:29:46.176285,SUB,,,,
Todos,Todos,665,265,2,15,155,263,1,23,234,1153,2167.0,1691,309,167,3.26,2167.0,3.26,2025-08-19 16:29:46.176285,SUB,,,,
Arcos,Engenharia Mecânica (ENEM) (SUP),30,7,0,0,0,6,0,0,10,10,34.0,34,0,0,1.13,17.0,0.57,2025-08-19 16:29:46.176285,SUP,,,,
Bambuí,Administração (ENEM) (SUP),25,1,0,0,6,2,0,0,4,8,23.0,8,13,2,0.92,6.0,0.24,2025-08-19 16:29:46.176285,SUP,,,,
Bambuí,Agronomia (ENEM) (SUP),30,3,0,0,8,5,0,1,27,24,69.0,31,18,20,2.3,24.0,0.8,2025-08-19 16:29:46.176285,SUP,,,,
Bambuí,Engenharia de Alimentos (ENEM) (SUP),15,0,0,0,0,1,0,0,0,3,4.0,2,1,1,0.27,3.0,0.2,2025-08-19 16:29:46.176285,SUP,,,,
Bambuí,Engenharia da Computação (ENEM) (SUP),15,2,0,0,2,3,0,0,4,9,21.0,11,6,4,1.4,7.0,0.47,2025-08-19 16:29:46.176285,SUP,,,,
Bambuí,Engenharia da Computação (Histórico e Redação) (SUP),3,1,0,1,0,4,0,1,5,2,14.0,6,4,4,4.67,4.0,1.33,2025-08-19 16:29:46.176285,SUP,,,,
Bambuí,Engenharia de Alimentos (Histórico e Redação) (SUP),15,1,0,1,0,1,0,0,1,1,6.0,1,2,3,0.4,1.0,0.07,2025-08-19 16:29:46.176285,SUP,,,,
Bambuí,Engenharia de Produção (ENEM) (SUP),20,0,0,0,0,1,0,0,2,3,6.0,0,2,4,0.3,4.0,0.2,2025-08-19 16:29:46.176285,SUP,,,,
Bambuí,Medicina Veterinária (ENEM) (SUP),25,8,0,0,20,11,0,2,32,54,129.0,107,17,5,5.16,47.0,1.88,2025-08-19 16:29:46.176285,SUP,,,,
Bambuí,Zootecnia (ENEM) (SUP),22,2,0,0,5,7,0,1,16,22,55.0,7,29,19,2.5,17.0,0.77,2025-08-19 16:29:46.176285,SUP,,,,
Bambuí,Ciências Biológicas (ENEM) (SUP),15,1,0,0,4,1,0,0,5,8,22.0,5,7,10,1.47,7.0,0.47,2025-08-19 16:29:46.176285,SUP,,,,
Bambuí,Ciências Biológicas (Histórico e Redação) (SUP),12,1,0,0,6,4,0,0,6,4,22.0,6,6,10,1.83,3.0,0.25,2025-08-19 16:29:46.176285,SUP,,,,
Bambuí,Educação Física (ENEM) (SUP),10,1,0,0,3,1,0,0,1,11,19.0,10,4,5,1.9,4.0,0.4,2025-08-19 16:29:46.176285,SUP,,,,
Bambuí,Educação Física (Histórico e Redação) (SUP),15,2,0,1,4,0,0,0,4,7,20.0,14,5,1,1.33,7.0,0.47,2025-08-19 16:29:46.176285,SUP,,,,
Bambuí,Física (ENEM) (SUP),14,0,0,0,0,0,0,0,1,0,1.0,0,1,0,0.07,0.0,0.0,2025-08-19 16:29:46.176285,SUP,,,,
Bambuí,Física (Histórico e Redação) (SUP),12,1,0,0,1,0,0,0,2,1,6.0,2,1,3,0.5,1.0,0.08,2025-08-19 16:29:46.176285,SUP,,,,
Betim,Engenharia de Controle e Automação (ENEM) (SUP),20,31,0,1,11,31,0,3,39,52,169.0,91,78,0,8.45,50.0,2.5,2025-08-19 16:29:46.176285,SUP,,,,
Betim,Engenharia Mecânica (ENEM) (SUP),20,31,0,1,11,27,0,3,39,54,167.0,94,73,0,8.35,54.0,2.7,2025-08-19 16:29:46.176285,SUP,,,,
Congonhas,Engenharia de Produção (ENEM) (SUP),20,5,0,0,4,7,1,3,12,27,60.0,53,2,5,3.0,21.0,1.05,2025-08-19 16:29:46.176285,SUP,,,,
Congonhas,Física (ENEM) (SUP),10,1,0,0,0,0,0,1,3,8,13.0,1,10,2,1.3,4.0,0.4,2025-08-19 16:29:46.176285,SUP,,,,
Congonhas,Física (Histórico e Redação) (SUP),10,1,0,0,0,1,0,0,2,6,10.0,0,7,3,1.0,4.0,0.4,2025-08-19 16:29:46.176285,SUP,,,,
Congonhas,Letras (Português Inglês) (ENEM) (SUP),10,1,0,0,1,2,1,2,3,10,20.0,7,6,7,2.0,6.0,0.6,2025-08-19 16:29:46.176285,SUP,,,,
Congonhas,Letras (Português Inglês) (Histórico e Redação) (SUP),10,1,0,0,2,1,1,2,6,5,18.0,11,5,2,1.8,3.0,0.3,2025-08-19 16:29:46.176285,SUP,,,,
Formiga,Administração (ENEM) (SUP),15,1,0,0,5,4,0,0,9,12,31.0,11,12,8,2.07,9.0,0.6,2025-08-19 16:29:46.176285,SUP,,,,
Formiga,Administração (Histórico e Redação) (SUP),15,2,0,1,4,8,0,0,9,12,36.0,27,4,5,2.4,6.0,0.4,2025-08-19 16:29:46.176285,SUP,,,,
Formiga,Ciência da Computação (ENEM) (SUP),20,1,0,0,11,6,0,0,12,13,44.0,25,14,5,2.2,11.0,0.55,2025-08-19 16:29:46.176285,SUP,,,,
Formiga,Ciência da Computação (Histórico e Redação) (SUP),8,2,0,1,7,5,0,0,14,15,46.0,21,20,5,5.75,12.0,1.5,2025-08-19 16:29:46.176285,SUP,,,,
Formiga,Engenharia Elétrica (ENEM) (SUP),12,1,0,0,2,3,0,0,6,4,17.0,5,8,4,1.42,3.0,0.25,2025-08-19 16:29:46.176285,SUP,,,,
Formiga,Engenharia Elétrica (Histórico e Redação) (SUP),14,0,0,2,0,5,0,0,11,10,29.0,14,8,7,2.07,11.0,0.79,2025-08-19 16:29:46.176285,SUP,,,,
Formiga,Matemática (ENEM) (SUP),15,0,0,0,1,1,0,0,2,1,5.0,0,1,4,0.33,0.0,0.0,2025-08-19 16:29:46.176285,SUP,,,,
Formiga,Matemática (Histórico e Redação) (SUP),10,1,0,0,2,2,0,0,3,5,13.0,1,7,5,1.3,2.0,0.2,2025-08-19 16:29:46.176285,SUP,,,,
Governador Valadares,Engenharia Ambiental e Sanitária (ENEM) (SUP),15,3,0,0,1,5,0,0,6,4,19.0,5,5,9,1.27,5.0,0.33,2025-08-19 16:29:46.176285,SUP,,,,
Governador Valadares,Engenharia Ambiental e Sanitária (Histórico e Redação) (SUP),15,2,0,0,0,4,0,0,5,15,27.0,7,14,6,1.8,7.0,0.47,2025-08-19 16:29:46.176285,SUP,,,,
Governador Valadares,Engenharia Civil (ENEM) (SUP),15,4,0,0,0,7,0,0,5,13,29.0,15,11,3,1.93,11.0,0.73,2025-08-19 16:29:46.176285,SUP,,,,
Governador Valadares,Engenharia Civil (Histórico e Redação) (SUP),15,3,0,0,1,9,0,0,6,9,28.0,17,8,3,1.87,9.0,0.6,2025-08-19 16:29:46.176285,SUP,,,,
Governador Valadares,Engenharia de Produção (ENEM) (SUP),15,3,0,0,0,5,0,0,6,7,22.0,9,10,3,1.47,10.0,0.67,2025-08-19 16:29:46.176285,SUP,,,,
Governador Valadares,Engenharia de Produção (Histórico e Redação) (SUP),15,3,0,0,1,7,0,0,5,13,31.0,11,10,10,2.07,7.0,0.47,2025-08-19 16:29:46.176285,SUP,,,,
Governador Valadares,Gestão Ambiental (ENEM) (SUP),15,2,0,0,0,3,0,0,3,2,10.0,2,2,6,0.67,3.0,0.2,2025-08-19 16:29:46.176285,SUP,,,,
Governador Valadares,Gestão Ambiental (Histórico e Redação) (SUP),15,4,0,0,1,3,0,0,4,11,24.0,6,7,11,1.6,6.0,0.4,2025-08-19 16:29:46.176285,SUP,,,,
Ibirité,Ciência da Computação (ENEM) (SUP),20,10,0,0,8,29,0,0,34,47,129.0,88,41,0,6.45,39.0,1.95,2025-08-19 16:29:46.176285,SUP,,,,
Ibirité,Engenharia de Controle e Automação (ENEM) (SUP),20,9,0,0,6,24,0,0,25,39,104.0,52,52,0,5.2,30.0,1.5,2025-08-19 16:29:46.176285,SUP,,,,
Ipatinga,Engenharia Elétrica (ENEM) (SUP),20,4,0,0,3,1,0,1,5,9,24.0,24,0,0,1.2,4.0,0.2,2025-08-19 16:29:46.176285,SUP,,,,
Itabirito,Engenharia Elétrica (ENEM) (SUP),10,2,0,0,1,9,0,0,4,4,21.0,12,9,0,2.1,9.0,0.9,2025-08-19 16:29:46.176285,SUP,,,,
Itabirito,Engenharia Elétrica (Histórico e Redação) (SUP),10,2,0,0,1,9,0,0,3,3,19.0,11,8,0,1.9,9.0,0.9,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Branco,Administração (ENEM) (SUP),15,10,0,0,12,9,0,1,20,23,76.0,31,27,18,5.07,24.0,1.6,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Branco,Administração (Histórico e Redação) (SUP),25,12,0,0,9,15,0,2,20,37,98.0,46,41,11,3.92,39.0,1.56,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Branco,Engenharia Metalúrgica (ENEM) (SUP),20,4,0,0,3,9,0,1,14,13,44.0,13,18,13,2.2,16.0,0.8,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Branco,Engenharia Metalúrgica (Histórico e Redação) (SUP),15,6,0,0,6,8,0,1,13,22,57.0,30,10,17,3.8,25.0,1.67,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Branco,Sistemas de Informação (ENEM) (SUP),20,6,0,0,8,10,0,1,18,22,65.0,26,20,19,3.25,22.0,1.1,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Branco,Sistemas de Informação (Histórico e Redação) (SUP),15,5,0,0,3,11,0,2,23,33,80.0,31,23,26,5.33,35.0,2.33,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Branco,Pedagogia (ENEM) (SUP),20,8,0,0,6,13,0,0,13,13,53.0,28,16,9,2.65,12.0,0.6,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Branco,Pedagogia (Histórico e Redação) (SUP),15,9,0,0,7,13,0,2,11,19,64.0,30,25,9,4.27,12.0,0.8,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Preto,Conservação e Restauro (ENEM) (SUP),15,2,0,1,0,3,0,0,3,6,16.0,11,3,2,1.07,9.0,0.6,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Preto,Conservação e Restauro (Histórico e Redação) (SUP),15,4,0,0,2,0,0,0,1,9,18.0,6,8,4,1.2,5.0,0.33,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Preto,Física (ENEM) (SUP),10,2,0,0,0,0,0,0,1,4,7.0,1,4,2,0.7,0.0,0.0,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Preto,Física (Histórico e Redação) (SUP),5,0,0,0,1,2,0,1,1,1,6.0,3,1,2,1.2,1.0,0.2,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Preto,Geografia (ENEM) (SUP),20,2,0,0,1,0,0,0,3,5,11.0,7,4,0,0.55,2.0,0.1,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Preto,Geografia (Histórico e Redação) (SUP),10,4,0,0,0,0,0,0,3,5,12.0,5,5,2,1.2,3.0,0.3,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Preto,Análise e Desenvolvimento de Sistemas (ENEM) (SUP),15,5,0,1,1,6,0,0,13,18,45.0,25,14,6,3.0,12.0,0.8,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Preto,Análise e Desenvolvimento de Sistemas (Histórico e Redação) (SUP),5,6,0,1,1,5,0,0,11,16,40.0,16,19,5,8.0,10.0,2.0,2025-08-19 16:29:46.176285,SUP,,,,
Ouro Preto,Gestão da Qualidade (ENEM) (SUP),18,8,0,0,1,8,0,0,7,10,34.0,17,6,11,1.89,5.0,0.28,2025-08-19 16:29:46.176285,SUP,,,,
Piumhi,Engenharia Civil (ENEM) (SUP),10,0,0,0,0,2,0,0,1,2,5.0,3,2,0,0.5,0.0,0.0,2025-08-19 16:29:46.176285,SUP,,,,
Piumhi,Engenharia Civil (Histórico e Redação) (SUP),10,0,0,0,0,1,0,0,2,2,5.0,4,1,0,0.5,0.0,0.0,2025-08-19 16:29:46.176285,SUP,,,,
Ponte Nova,Processos Gerenciais (ENEM) (SUP),15,2,0,0,1,3,0,0,3,3,14.0,11,3,0,0.93,1.0,0.07,2025-08-19 16:29:46.176285,SUP,,,,
Ponte Nova,Processos Gerenciais (Histórico e Redação) (SUP),15,2,0,0,3,4,0,0,3,6,20.0,11,9,0,1.33,2.0,0.13,2025-08-19 16:29:46.176285,SUP,,,,
Ribeirão das Neves,Administração (ENEM) (SUP),20,8,0,0,6,10,0,0,7,25,57.0,36,21,0,2.85,4.0,0.2,2025-08-19 16:29:46.176285,SUP,,,,
Ribeirão das Neves,Processos Gerenciais (ENEM) (SUP),18,10,0,0,5,12,0,1,10,24,63.0,38,25,0,3.5,6.0,0.33,2025-08-19 16:29:46.176285,SUP,,,,
Sabará,Administração (ENEM) (SUP),10,5,0,0,9,12,0,0,6,12,44.0,20,11,13,4.4,10.0,1.0,2025-08-19 16:29:46.176285,SUP,,,,
Sabará,Administração (Histórico e Redação) (SUP),10,11,0,0,5,21,0,0,6,22,66.0,28,24,14,6.6,18.0,1.8,2025-08-19 16:29:46.176285,SUP,,,,
Sabará,Engenharia de Controle e Automação (ENEM) (SUP),10,6,0,0,0,9,0,0,12,12,39.0,19,11,9,3.9,12.0,1.2,2025-08-19 16:29:46.176285,SUP,,,,
Sabará,Engenharia de Controle e Automação (Histórico e Redação) (SUP),20,13,0,0,4,16,0,1,15,28,78.0,36,23,19,3.9,19.0,0.95,2025-08-19 16:29:46.176285,SUP,,,,
Sabará,Sistemas de Informação (ENEM) (SUP),10,11,0,0,6,12,0,1,17,27,74.0,26,36,12,7.4,24.0,2.4,2025-08-19 16:29:46.176285,SUP,,,,
Sabará,Sistemas de Informação (Histórico e Redação) (SUP),20,16,0,0,6,19,0,1,19,34,95.0,46,33,16,4.75,34.0,1.7,2025-08-19 16:29:46.176285,SUP,,,,
Sabará,Logística (ENEM) (SUP),10,0,0,0,4,6,0,0,1,9,20.0,3,9,8,2.0,7.0,0.7,2025-08-19 16:29:46.176285,SUP,,,,
Sabará,Logística (Histórico e Redação) (SUP),30,3,0,0,4,8,0,0,3,19,38.0,15,12,11,1.27,9.0,0.3,2025-08-19 16:29:46.176285,SUP,,,,
São João Evangelista,Administração (ENEM) (SUP),15,6,0,0,6,7,0,0,5,13,37.0,14,12,11,2.47,6.0,0.4,2025-08-19 16:29:46.176285,SUP,,,,
São João Evangelista,Administração (Histórico e Redação) (SUP),15,15,0,0,7,11,0,0,12,11,56.0,29,9,18,3.73,12.0,0.8,2025-08-19 16:29:46.176285,SUP,,,,
São João Evangelista,Agronomia (ENEM) (SUP),15,7,0,0,2,0,0,0,5,7,22.0,8,7,7,1.47,3.0,0.2,2025-08-19 16:29:46.176285,SUP,,,,
São João Evangelista,Agronomia (Histórico e Redação) (SUP),15,5,0,0,4,3,0,1,10,8,31.0,15,11,5,2.07,8.0,0.53,2025-08-19 16:29:46.176285,SUP,,,,
São João Evangelista,Engenharia Florestal (ENEM) (SUP),15,3,0,0,4,2,0,0,0,6,16.0,6,6,4,1.07,1.0,0.07,2025-08-19 16:29:46.176285,SUP,,,,
São João Evangelista,Engenharia Florestal (Histórico e Redação) (SUP),15,5,0,0,4,4,0,0,6,8,27.0,5,10,12,1.8,7.0,0.47,2025-08-19 16:29:46.176285,SUP,,,,
São João Evangelista,Sistemas de Informação (ENEM) (SUP),15,7,0,0,1,6,0,0,4,7,25.0,12,8,5,1.67,3.0,0.2,2025-08-19 16:29:46.176285,SUP,,,,
São João Evangelista,Sistemas de Informação (Histórico e Redação) (SUP),15,9,0,0,5,7,0,0,5,8,35.0,19,11,5,2.33,9.0,0.6,2025-08-19 16:29:46.176285,SUP,,,,
São João Evangelista,Ciências Biológicas (ENEM) (SUP),15,5,0,0,8,1,0,0,3,5,24.0,10,7,7,1.6,2.0,0.13,2025-08-19 16:29:46.176285,SUP,,,,
São João Evangelista,Ciências Biológicas (Histórico e Redação) (SUP),15,9,0,0,7,5,0,1,3,4,29.0,5,15,9,1.93,3.0,0.2,2025-08-19 16:29:46.176285,SUP,,,,
São João Evangelista,Matemática (ENEM) (SUP),15,2,0,0,0,0,0,0,0,3,5.0,0,3,2,0.33,0.0,0.0,2025-08-19 16:29:46.176285,SUP,,,,
São João Evangelista,Matemática (Histórico e Redação) (SUP),15,3,0,0,1,3,0,1,2,2,12.0,4,5,3,0.8,2.0,0.13,2025-08-19 16:29:46.176285,SUP,,,,
São João Evangelista,Pedagogia (ENEM) (SUP),15,3,0,0,6,3,0,0,1,7,22.0,10,9,3,1.47,3.0,0.2,2025-08-19 16:29:46.176285,SUP,,,,
São João Evangelista,Pedagogia (Histórico e Redação) (SUP),15,9,0,0,5,6,0,0,6,5,32.0,14,13,5,2.13,5.0,0.33,2025-08-19 16:29:46.176285,SUP,,,,
Santa Luzia,Arquitetura e Urbanismo (ENEM) (SUP),20,7,0,0,5,11,0,1,12,24,60.0,22,28,10,3.0,16.0,0.8,2025-08-19 16:29:46.176285,SUP,,,,
Santa Luzia,Arquitetura e Urbanismo (Histórico e Redação) (SUP),10,17,0,0,5,14,0,0,12,35,84.0,27,41,16,8.4,19.0,1.9,2025-08-19 16:29:46.176285,SUP,,,,
Santa Luzia,Engenharia Civil (ENEM) (SUP),20,12,0,0,4,12,0,1,12,24,65.0,38,17,10,3.25,12.0,0.6,2025-08-19 16:29:46.176285,SUP,,,,
Santa Luzia,Engenharia Civil (Histórico e Redação) (SUP),10,24,0,0,4,21,0,1,17,26,94.0,56,25,13,9.4,17.0,1.7,2025-08-19 16:29:46.176285,SUP,,,,
Santa Luzia,Design de Interiores (ENEM) (SUP),20,7,0,0,0,8,0,1,4,14,34.0,8,9,17,1.7,8.0,0.4,2025-08-19 16:29:46.176285,SUP,,,,
Santa Luzia,Design de Interiores (Histórico e Redação) (SUP),10,16,0,0,5,13,0,0,4,19,58.0,16,15,27,5.8,7.0,0.7,2025-08-19 16:29:46.176285,SUP,,,,
Todos,Todos,1453,512,0,12,340,649,3,42,804,1294,3728.0,1804,1273,651,2.57,1018.0,0.7,2025-08-19 16:29:46.176285,SUP,,,,
Arcos,Técnico Integrado em Administração (INT),45,6,1,1,16,11,0,0,21,54,114.0,72,42,0,2.53,45.0,1.0,2025-08-19 17:14:19.454365,INT,,,,
Arcos,Técnico Integrado em Mecânica (INT),45,6,1,1,13,9,0,0,21,47,101.0,48,53,0,2.24,41.0,0.91,2025-08-19 17:14:19.454365,INT,,,,
Bambuí,Técnico Integrado em Administração (INT),40,5,0,0,8,3,0,2,18,28,66.0,23,19,24,1.65,31.0,0.78,2025-08-19 17:14:19.454365,INT,,,,
Bambuí,Técnico Integrado em Agroindústria (INT),30,1,0,1,4,5,0,0,11,22,45.0,6,30,9,1.5,20.0,0.67,2025-08-19 17:14:19.454365,INT,,,,
Bambuí,Técnico Integrado em Agropecuária (INT),90,4,0,1,13,5,0,1,27,41,92.0,80,9,3,1.02,47.0,0.52,2025-08-19 17:14:19.454365,INT,,,,
Bambuí,Técnico Integrado em Biotecnologia (INT),30,4,0,1,7,8,0,1,15,26,63.0,17,27,19,2.1,30.0,1.0,2025-08-19 17:14:19.454365,INT,,,,
Bambuí,Técnico Integrado em Eletromecânica (INT),32,3,0,1,3,3,0,0,5,9,25.0,8,7,10,0.78,12.0,0.38,2025-08-19 17:14:19.454365,INT,,,,
Bambuí,Técnico Integrado em Informática (INT),35,4,0,2,6,3,0,2,16,23,57.0,17,19,21,1.63,25.0,0.71,2025-08-19 17:14:19.454365,INT,,,,
Betim,Técnico Integrado em Automação Industrial (INT),66,106,1,6,101,143,2,9,166,418,973.0,417,404,152,14.74,324.0,4.91,2025-08-19 17:14:19.454365,INT,,,,
Betim,Técnico Integrado em Mecânica (INT),66,104,2,8,96,140,2,6,161,389,929.0,236,421,272,14.08,300.0,4.55,2025-08-19 17:14:19.454365,INT,,,,
Betim,Técnico Integrado em Química (INT),66,98,1,4,97,143,2,7,147,409,927.0,451,134,342,14.05,309.0,4.68,2025-08-19 17:14:19.454365,INT,,,,
Congonhas,Técnico Integrado em Edificações (INT),70,36,0,2,26,55,0,0,51,85,273.0,135,79,59,3.9,110.0,1.57,2025-08-19 17:14:19.454365,INT,,,,
Congonhas,Técnico Integrado em Mecânica (INT),35,32,0,2,27,54,0,0,49,81,263.0,79,91,93,7.51,101.0,2.89,2025-08-19 17:14:19.454365,INT,,,,
Congonhas,Técnico Integrado em Mineração (INT),35,34,0,2,31,54,0,0,52,82,275.0,95,105,75,7.86,111.0,3.17,2025-08-19 17:14:19.454365,INT,,,,
Formiga,Técnico Integrado em Administração (INT),40,2,0,0,12,9,0,1,33,32,90.0,47,22,21,2.25,34.0,0.85,2025-08-19 17:14:19.454365,INT,,,,
Formiga,Técnico Integrado em Eletrotécnica (INT),35,1,0,0,8,7,0,0,23,24,64.0,11,22,31,1.83,25.0,0.71,2025-08-19 17:14:19.454365,INT,,,,
Formiga,Técnico Integrado em Informática (INT),40,2,0,0,8,8,0,1,31,32,83.0,37,37,9,2.08,34.0,0.85,2025-08-19 17:14:19.454365,INT,,,,
Governador Valadares,Técnico Integrado em Edificações (INT),40,26,0,0,14,50,0,0,47,143,287.0,98,77,112,7.18,127.0,3.18,2025-08-19 17:14:19.454365,INT,,,,
Governador Valadares,Técnico Integrado em Meio Ambiente (INT),40,24,0,0,19,54,0,0,47,147,301.0,113,104,84,7.53,134.0,3.35,2025-08-19 17:14:19.454365,INT,,,,
Governador Valadares,Técnico Integrado em Segurança do Trabalho (INT),40,30,0,0,16,56,0,0,48,149,305.0,129,119,57,7.63,137.0,3.43,2025-08-19 17:14:19.454365,INT,,,,
Ibirité,Técnico Integrado em Automação Industrial (INT),40,41,0,0,40,43,1,1,52,155,343.0,97,108,138,8.58,114.0,2.85,2025-08-19 17:14:19.454365,INT,,,,
Ibirité,Técnico Integrado em Informática (INT),40,49,0,0,57,48,1,1,57,181,408.0,212,129,67,10.2,123.0,3.08,2025-08-19 17:14:19.454365,INT,,,,
Ibirité,Técnico Integrado em Mecatrônica (INT),40,37,0,0,32,37,1,1,55,151,323.0,100,131,92,8.08,111.0,2.78,2025-08-19 17:14:19.454365,INT,,,,
Ibirité,Técnico Integrado em Sistemas de Energia Renovável (INT),40,35,0,0,30,30,0,0,32,108,241.0,70,75,96,6.03,70.0,1.75,2025-08-19 17:14:19.454365,INT,,,,
Ipatinga,Técnico Integrado em Automação Industrial (INT),40,36,0,2,23,61,0,1,81,89,301.0,210,91,0,7.53,93.0,2.33,2025-08-19 17:14:19.454365,INT,,,,
Ipatinga,Técnico Integrado em Eletrotécnica (INT),40,37,0,2,23,57,0,1,71,88,287.0,102,185,0,7.18,87.0,2.18,2025-08-19 17:14:19.454365,INT,,,,
Itabirito,Técnico Integrado em Automação Industrial (INT),70,14,0,2,8,26,0,2,34,36,131.0,131,0,0,1.87,52.0,0.74,2025-08-19 17:14:19.454365,INT,,,,
Conselheiro Lafaiete,Técnico Integrado em Eletrotécnica (INT),40,24,0,2,13,45,0,0,63,54,215.0,139,76,0,5.38,98.0,2.45,2025-08-19 17:14:19.454365,INT,,,,
Conselheiro Lafaiete,Técnico Integrado em Mecânica (INT),40,25,0,2,14,43,0,0,60,52,211.0,89,122,0,5.28,94.0,2.35,2025-08-19 17:14:19.454365,INT,,,,
Ouro Branco,Técnico Integrado em Administração (INT),35,22,0,0,27,44,1,2,93,138,355.0,184,120,51,10.14,174.0,4.97,2025-08-19 17:14:19.454365,INT,,,,
Ouro Branco,Técnico Integrado em Informática (INT),35,23,0,0,27,47,1,1,87,138,353.0,154,146,53,10.09,168.0,4.8,2025-08-19 17:14:19.454365,INT,,,,
Ouro Branco,Técnico Integrado em Metalurgia (INT),35,21,0,0,25,37,1,2,82,108,300.0,53,82,165,8.57,142.0,4.06,2025-08-19 17:14:19.454365,INT,,,,
Ouro Preto,Técnico Integrado em Administração (INT),60,42,1,0,16,57,1,0,58,136,335.0,160,100,75,5.58,136.0,2.27,2025-08-19 17:14:19.454365,INT,,,,
Ouro Preto,Técnico Integrado em Automação Industrial (INT),80,36,1,0,21,58,0,0,52,112,299.0,142,89,68,3.74,128.0,1.6,2025-08-19 17:14:19.454365,INT,,,,
Ouro Preto,Técnico Integrado em Edificações (INT),90,29,0,0,16,57,0,0,69,130,323.0,100,123,100,3.59,151.0,1.68,2025-08-19 17:14:19.454365,INT,,,,
Ouro Preto,Técnico Integrado em Metalurgia (INT),90,28,0,0,11,53,0,0,48,82,228.0,46,74,108,2.53,84.0,0.93,2025-08-19 17:14:19.454365,INT,,,,
Ouro Preto,Técnico Integrado em Mineração (INT),90,45,1,0,15,81,1,0,74,147,383.0,105,141,137,4.26,156.0,1.73,2025-08-19 17:14:19.454365,INT,,,,
Piumhi,Técnico Integrado em Edificações (INT),80,5,0,0,8,9,0,0,19,24,67.0,67,0,0,0.84,33.0,0.41,2025-08-19 17:14:19.454365,INT,,,,
Ponte Nova,Técnico Integrado em Administração (INT),40,63,0,1,31,66,1,3,85,82,378.0,174,204,0,9.45,112.0,2.8,2025-08-19 17:14:19.454365,INT,,,,
Ponte Nova,Técnico Integrado em Informática (INT),75,63,0,2,32,67,1,2,95,89,397.0,245,152,0,5.29,122.0,1.63,2025-08-19 17:14:19.454365,INT,,,,
Ribeirão das Neves,Técnico Integrado em Administração (INT),70,87,1,4,66,107,0,2,97,252,632.0,281,192,159,9.03,199.0,2.84,2025-08-19 17:14:19.454365,INT,,,,
Ribeirão das Neves,Técnico Integrado em Eletroeletrônica (INT),35,72,1,3,56,99,0,1,77,217,545.0,79,205,261,15.57,174.0,4.97,2025-08-19 17:14:19.454365,INT,,,,
